Date,Close/Last,Volume,Open,High,Low
05/25/2017,1.78,N/A,1.78,1.78,1.78
05/24/2017,1.79,N/A,1.79,1.79,1.79
05/23/2017,1.84,N/A,1.84,1.84,1.84
05/22/2017,1.8,N/A,1.8,1.8,1.8
05/19/2017,1.79,N/A,1.79,1.79,1.79
05/18/2017,1.78,N/A,1.78,1.78,1.78
05/17/2017,1.76,N/A,1.76,1.76,1.76
05/16/2017,1.86,N/A,1.86,1.86,1.86
05/15/2017,1.86,N/A,1.86,1.86,1.86
05/12/2017,1.85,N/A,1.85,1.85,1.85
05/11/2017,1.93,N/A,1.93,1.93,1.93
05/10/2017,1.94,N/A,1.94,1.94,1.94
05/09/2017,1.94,N/A,1.94,1.94,1.94
05/08/2017,1.91,N/A,1.91,1.91,1.91
05/05/2017,1.89,N/A,1.89,1.89,1.89
05/04/2017,1.88,N/A,1.88,1.88,1.88
05/03/2017,1.86,N/A,1.86,1.86,1.86
05/02/2017,1.81,N/A,1.81,1.81,1.81
05/01/2017,1.84,N/A,1.84,1.84,1.84
04/28/2017,1.81,N/A,1.81,1.81,1.81
04/27/2017,1.81,N/A,1.81,1.81,1.81
04/26/2017,1.84,N/A,1.84,1.84,1.84
04/25/2017,1.87,N/A,1.87,1.87,1.87
04/24/2017,1.81,N/A,1.81,1.81,1.81
04/21/2017,1.77,N/A,1.77,1.77,1.77
04/20/2017,1.78,N/A,1.78,1.78,1.78
04/19/2017,1.74,N/A,1.74,1.74,1.74
04/18/2017,1.71,N/A,1.71,1.71,1.71
04/17/2017,1.79,N/A,1.79,1.79,1.79
04/14/2017,0,N/A,0,0,0
04/13/2017,1.77,N/A,1.77,1.77,1.77
04/12/2017,1.81,N/A,1.81,1.81,1.81
04/11/2017,1.84,N/A,1.84,1.84,1.84
04/10/2017,1.91,N/A,1.91,1.91,1.91
04/07/2017,1.92,N/A,1.92,1.92,1.92
04/06/2017,1.87,N/A,1.87,1.87,1.87
04/05/2017,1.85,N/A,1.85,1.85,1.85
04/04/2017,1.88,N/A,1.88,1.88,1.88
04/03/2017,1.88,N/A,1.88,1.88,1.88
03/31/2017,1.93,N/A,1.93,1.93,1.93
03/30/2017,1.96,N/A,1.96,1.96,1.96
03/29/2017,1.93,N/A,1.93,1.93,1.93
03/28/2017,1.97,N/A,1.97,1.97,1.97
03/27/2017,1.93,N/A,1.93,1.93,1.93
03/24/2017,1.93,N/A,1.93,1.93,1.93
03/23/2017,1.95,N/A,1.95,1.95,1.95
03/22/2017,1.95,N/A,1.95,1.95,1.95
03/21/2017,1.96,N/A,1.96,1.96,1.96
03/20/2017,2,N/A,2,2,2
03/17/2017,2.03,N/A,2.03,2.03,2.03
03/16/2017,2.05,N/A,2.05,2.05,2.05
03/15/2017,2.02,N/A,2.02,2.02,2.02
03/14/2017,2.13,N/A,2.13,2.13,2.13
03/13/2017,2.14,N/A,2.14,2.14,2.14
03/10/2017,2.11,N/A,2.11,2.11,2.11
03/09/2017,2.13,N/A,2.13,2.13,2.13
03/08/2017,2.08,N/A,2.08,2.08,2.08
03/07/2017,2.05,N/A,2.05,2.05,2.05
03/06/2017,2.02,N/A,2.02,2.02,2.02
03/03/2017,2.02,N/A,2.02,2.02,2.02
03/02/2017,2.03,N/A,2.03,2.03,2.03
03/01/2017,1.99,N/A,1.99,1.99,1.99
02/28/2017,1.89,N/A,1.89,1.89,1.89
02/27/2017,1.87,N/A,1.87,1.87,1.87
02/24/2017,1.8,N/A,1.8,1.8,1.8
02/23/2017,1.87,N/A,1.87,1.87,1.87
02/22/2017,1.92,N/A,1.92,1.92,1.92
02/21/2017,1.93,N/A,1.93,1.93,1.93
02/20/2017,1.92,N/A,1.92,1.92,1.92
02/17/2017,1.92,N/A,1.92,1.92,1.92
02/16/2017,1.95,N/A,1.95,1.95,1.95
02/15/2017,2.01,N/A,2.01,2.01,2.01
02/14/2017,1.98,N/A,1.98,1.98,1.98
02/13/2017,1.92,N/A,1.92,1.92,1.92
02/10/2017,1.89,N/A,1.89,1.89,1.89
02/09/2017,1.88,N/A,1.88,1.88,1.88
02/08/2017,1.81,N/A,1.81,1.81,1.81
02/07/2017,1.85,N/A,1.85,1.85,1.85
02/06/2017,1.86,N/A,1.86,1.86,1.86
02/03/2017,1.93,N/A,1.93,1.93,1.93
02/02/2017,1.92,N/A,1.92,1.92,1.92
02/01/2017,1.93,N/A,1.93,1.93,1.93
01/31/2017,1.9,N/A,1.9,1.9,1.9
01/30/2017,1.94,N/A,1.94,1.94,1.94
01/27/2017,1.94,N/A,1.94,1.94,1.94
01/26/2017,1.95,N/A,1.95,1.95,1.95
01/25/2017,1.99,N/A,1.99,1.99,1.99
01/24/2017,1.94,N/A,1.94,1.94,1.94
01/23/2017,1.88,N/A,1.88,1.88,1.88
01/20/2017,1.95,N/A,1.95,1.95,1.95
01/19/2017,1.97,N/A,1.97,1.97,1.97
01/18/2017,1.93,N/A,1.93,1.93,1.93
01/17/2017,1.84,N/A,1.84,1.84,1.84
01/16/2017,1.9,N/A,1.9,1.9,1.9
01/13/2017,1.9,N/A,1.9,1.9,1.9
01/12/2017,1.87,N/A,1.87,1.87,1.87
01/11/2017,1.89,N/A,1.89,1.89,1.89
01/10/2017,1.89,N/A,1.89,1.89,1.89
01/09/2017,1.89,N/A,1.89,1.89,1.89
01/06/2017,1.92,N/A,1.92,1.92,1.92
01/05/2017,1.86,N/A,1.86,1.86,1.86
01/04/2017,1.94,N/A,1.94,1.94,1.94
01/03/2017,1.94,N/A,1.94,1.94,1.94
01/02/2017,1.93,N/A,1.93,1.93,1.93
12/30/2016,1.93,N/A,1.93,1.93,1.93
12/29/2016,1.96,N/A,1.96,1.96,1.96
12/28/2016,2.02,N/A,2.02,2.02,2.02
12/27/2016,2.07,N/A,2.07,2.07,2.07
12/26/2016,2.04,N/A,2.04,2.04,2.04
12/23/2016,2.04,N/A,2.04,2.04,2.04
12/22/2016,2.04,N/A,2.04,2.04,2.04
12/21/2016,2.04,N/A,2.04,2.04,2.04
12/20/2016,2.06,N/A,2.06,2.06,2.06
12/19/2016,2.03,N/A,2.03,2.03,2.03
12/16/2016,2.07,N/A,2.07,2.07,2.07
12/15/2016,2.1,N/A,2.1,2.1,2.1
12/14/2016,2.02,N/A,2.02,2.02,2.02
12/13/2016,1.92,N/A,1.92,1.92,1.92
12/12/2016,1.9,N/A,1.9,1.9,1.9
12/09/2016,1.89,N/A,1.89,1.89,1.89
12/08/2016,1.83,N/A,1.83,1.83,1.83
12/07/2016,1.8,N/A,1.8,1.8,1.8
12/06/2016,1.84,N/A,1.84,1.84,1.84
12/05/2016,1.84,N/A,1.84,1.84,1.84
12/02/2016,1.84,N/A,1.84,1.84,1.84
12/01/2016,1.9,N/A,1.9,1.9,1.9
11/30/2016,1.83,N/A,1.83,1.83,1.83
11/29/2016,1.78,N/A,1.78,1.78,1.78
11/28/2016,1.8,N/A,1.8,1.8,1.8
11/25/2016,1.83,N/A,1.83,1.83,1.83
11/24/2016,1.83,N/A,1.83,1.83,1.83
11/23/2016,1.83,N/A,1.83,1.83,1.83
11/22/2016,1.77,N/A,1.77,1.77,1.77
11/21/2016,1.79,N/A,1.79,1.79,1.79
11/18/2016,1.8,N/A,1.8,1.8,1.8
11/17/2016,1.73,N/A,1.73,1.73,1.73
11/16/2016,1.68,N/A,1.68,1.68,1.68
11/15/2016,1.68,N/A,1.68,1.68,1.68
11/14/2016,1.66,N/A,1.66,1.66,1.66
11/11/2016,1.56,N/A,1.56,1.56,1.56
11/10/2016,1.56,N/A,1.56,1.56,1.56
11/09/2016,1.49,N/A,1.49,1.49,1.49
11/08/2016,1.34,N/A,1.34,1.34,1.34
11/07/2016,1.29,N/A,1.29,1.29,1.29
11/04/2016,1.24,N/A,1.24,1.24,1.24
11/03/2016,1.26,N/A,1.26,1.26,1.26
11/02/2016,1.26,N/A,1.26,1.26,1.26
11/01/2016,1.3,N/A,1.3,1.3,1.3
10/31/2016,1.31,N/A,1.31,1.31,1.31
10/28/2016,1.33,N/A,1.33,1.33,1.33
10/27/2016,1.33,N/A,1.33,1.33,1.33
10/26/2016,1.3,N/A,1.3,1.3,1.3
10/25/2016,1.29,N/A,1.29,1.29,1.29
10/24/2016,1.27,N/A,1.27,1.27,1.27
10/21/2016,1.25,N/A,1.25,1.25,1.25
10/20/2016,1.26,N/A,1.26,1.26,1.26
10/19/2016,1.24,N/A,1.24,1.24,1.24
10/18/2016,1.24,N/A,1.24,1.24,1.24
10/17/2016,1.26,N/A,1.26,1.26,1.26
10/14/2016,1.28,N/A,1.28,1.28,1.28
10/13/2016,1.27,N/A,1.27,1.27,1.27
10/12/2016,1.31,N/A,1.31,1.31,1.31
10/11/2016,1.3,N/A,1.3,1.3,1.3
10/10/2016,1.26,N/A,1.26,1.26,1.26
10/07/2016,1.26,N/A,1.26,1.26,1.26
10/06/2016,1.28,N/A,1.28,1.28,1.28
10/05/2016,1.26,N/A,1.26,1.26,1.26
10/04/2016,1.22,N/A,1.22,1.22,1.22
10/03/2016,1.18,N/A,1.18,1.18,1.18
09/30/2016,1.14,N/A,1.14,1.14,1.14
09/29/2016,1.12,N/A,1.12,1.12,1.12
09/28/2016,1.13,N/A,1.13,1.13,1.13
09/27/2016,1.12,N/A,1.12,1.12,1.12
09/26/2016,1.13,N/A,1.13,1.13,1.13
09/23/2016,1.16,N/A,1.16,1.16,1.16
09/22/2016,1.18,N/A,1.18,1.18,1.18
09/21/2016,1.2,N/A,1.2,1.2,1.2
09/20/2016,1.2,N/A,1.2,1.2,1.2
09/19/2016,1.22,N/A,1.22,1.22,1.22
09/16/2016,1.21,N/A,1.21,1.21,1.21
09/15/2016,1.2,N/A,1.2,1.2,1.2
09/14/2016,1.21,N/A,1.21,1.21,1.21
09/13/2016,1.26,N/A,1.26,1.26,1.26
09/12/2016,1.21,N/A,1.21,1.21,1.21
09/09/2016,1.23,N/A,1.23,1.23,1.23
09/08/2016,1.19,N/A,1.19,1.19,1.19
09/07/2016,1.12,N/A,1.12,1.12,1.12
09/06/2016,1.13,N/A,1.13,1.13,1.13
09/05/2016,1.2,N/A,1.2,1.2,1.2
09/02/2016,1.2,N/A,1.2,1.2,1.2
09/01/2016,1.18,N/A,1.18,1.18,1.18
08/31/2016,1.19,N/A,1.19,1.19,1.19
08/30/2016,1.18,N/A,1.18,1.18,1.18
08/29/2016,1.18,N/A,1.18,1.18,1.18
08/26/2016,1.23,N/A,1.23,1.23,1.23
08/25/2016,1.16,N/A,1.16,1.16,1.16
08/24/2016,1.13,N/A,1.13,1.13,1.13
08/23/2016,1.15,N/A,1.15,1.15,1.15
08/22/2016,1.15,N/A,1.15,1.15,1.15
08/19/2016,1.17,N/A,1.17,1.17,1.17
08/18/2016,1.12,N/A,1.12,1.12,1.12
08/17/2016,1.15,N/A,1.15,1.15,1.15
08/16/2016,1.16,N/A,1.16,1.16,1.16
08/15/2016,1.14,N/A,1.14,1.14,1.14
08/12/2016,1.1,N/A,1.1,1.1,1.1
08/11/2016,1.16,N/A,1.16,1.16,1.16
08/10/2016,1.07,N/A,1.07,1.07,1.07
08/09/2016,1.11,N/A,1.11,1.11,1.11
08/08/2016,1.15,N/A,1.15,1.15,1.15
